term,source_union,is_training_seed,seed_level,representative_sentence,source_file,usage_rule,resource_class,intensity_dimension,in_embedding,rank_score,intensity_weight_0_5_1,max_seed_cosine,score_status
极为,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.2657040130774693,1.0,1.0,统一RankSVM已评分
极其,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.2535821732952412,0.997134563655852,1.0,统一RankSVM已评分
极度,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.1971713663666248,0.9837998241047685,1.0,统一RankSVM已评分
异常,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.1388150800601338,0.9700051999638618,0.9999998807907104,统一RankSVM已评分
十分,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.04481349560265,0.9477845171837711,1.0,统一RankSVM已评分
极端,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,1.0095614001992315,0.9394514062706552,1.0,统一RankSVM已评分
过度,原始RankSVM Seed,True,5.0,,,,训练Seed,rank_anchor,True,0.8864718461858851,0.9103547272193517,1.0,统一RankSVM已评分
非常,原始RankSVM Seed,True,6.0,,,,训练Seed,rank_anchor,True,0.8799101444849327,0.9088036311092602,0.9999999403953552,统一RankSVM已评分
过于,原始RankSVM Seed,True,5.0,,,,训练Seed,rank_anchor,True,0.8755410828019765,0.9077708449677933,0.9999998807907104,统一RankSVM已评分
过分,原始RankSVM Seed,True,5.0,,,,训练Seed,rank_anchor,True,0.7800741568491764,0.8852037755951803,1.0,统一RankSVM已评分
格外,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.7540119316653198,0.8790430237132192,0.9999998807907104,统一RankSVM已评分
尤为,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.7428508333923001,0.8764046934591758,1.0,统一RankSVM已评分
很,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.6943512110273887,0.8649400492221171,0.9999999403953552,统一RankSVM已评分
分外,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.6090566488506252,0.8447775868558172,1.0,统一RankSVM已评分
过热,原始RankSVM Seed,True,5.0,,,,训练Seed,rank_anchor,True,0.561917462667873,0.8336345310368769,1.0,统一RankSVM已评分
剧烈,人工程度候选,False,,,,可全局候选；市场剧烈波动等语境,全局幅度,amplitude,True,0.49610881944518004,0.8180782721325282,0.44075560569763184,统一RankSVM已评分
更为,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.49322754757419607,0.8173971790571526,0.9999998807907104,统一RankSVM已评分
状况,自动发现审核,False,,第二季度，受外部需求下降、经济周期性下行等多重因 素影响，多数金砖国家经济增长进一步放缓，贸易状况恶化。,2012年第二季度中国货币政策执行报告.txt,,,,True,0.47235974915317513,0.8124643182792355,0.4171558618545532,统一RankSVM已评分
较为,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.46227113103493095,0.8100795075955776,1.0,统一RankSVM已评分
具有,自动发现审核,False,,但降准后商业银行法定准备金会转化 为超额准备金，具有投放流动性的作用，随着商业银行动用这部分流动性，超额 准备金也会相应下降，由此产生“缩表”效应。,2017年第一季度中国货币政策执行报告.txt,,,,True,0.34598205294295425,0.7825903675987966,0.4377160668373108,统一RankSVM已评分
愈发,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.34520671423004556,0.7824070881819005,0.9999998807907104,统一RankSVM已评分
着实,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.3327993727508117,0.7794741631599928,1.000000238418579,统一RankSVM已评分
更加,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.3208886791919298,0.7766586388814369,1.0,统一RankSVM已评分
急剧,人工程度候选；自动发现审核,False,,"2010 年上半年，欧债危机急剧恶化，希腊、葡萄牙等重债国国债收益率大幅上 升,主权债市场流动性几近枯竭，并向银行间市场、外汇市场和股票市场传导蔓 延。",2012年第一季度中国货币政策执行报告.txt,既表示速度突变，也常蕴含大幅变化,全局幅度/速度,amplitude+speed,True,0.28136912977390793,0.7673167604833429,0.45988020300865173,统一RankSVM已评分
愈加,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.27113947957995926,0.764898611755075,0.9999999403953552,统一RankSVM已评分
日益,自动发现审核,False,,随着新兴市场经济体的快速发展，在全球经济中的地位越来越重要，新兴市 场货币的作用也日益提升。,2011年第三季度中国货币政策执行报告.txt,,,,True,0.2564766978516183,0.7614325316529196,0.7781474590301514,统一RankSVM已评分
大量,自动发现审核,False,,考虑到春节前后现金大量投放回笼的季节性特征，春节前通过 合理安排14 天期以内短期逆回购操作，有效熨平了季节性因素引起 的银行体系流动性波动；,2013年第一季度中国货币政策执行报告.txt,,,,True,0.23848428061145704,0.7571793714721835,0.4902734160423279,统一RankSVM已评分
稳定,自动发现审核,False,,"会议认为，当前我国经济金融运行总体保持了稳定增长态势,物价形势基本稳定，但未来走势仍存在一定不确定性；",2013_Q1_中国人民银行 货币政策 委员会 召开 2013 年 第一季度 例会.txt,,,,True,0.19458713274600226,0.746802688958814,0.4766128957271576,统一RankSVM已评分
有序,自动发现审核,False,,主动有序扩大金融对外开放，增强金融业发展活力和韧性。,2018_Q2_中国人民银行 货币政策 委员会 召开 2018 年 第二季度 例会.txt,,,,True,0.18941880145287904,0.7455809664652017,0.4402522146701813,统一RankSVM已评分
甚,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,0.1865482069764583,0.7449023973791702,1.0000001192092896,统一RankSVM已评分
强劲,人工程度候选,False,,短期内，保护 主义可能通过阻碍贸易、抑制外商直接投资削弱全球需求，威胁经济 持续、强劲增长。,2017年第三季度中国货币政策执行报告.txt,适合增长动能/需求/就业等状态，不与大幅完全同轴,状态强度,state_strength,True,0.1744313248743981,0.7420381329624846,0.4022822678089142,统一RankSVM已评分
波动,自动发现审核,False,,各期限Shibor 总 体波动下行。,2011年第三季度中国货币政策执行报告.txt,,,,True,0.17079719896018347,0.7411790755371367,0.4428749978542328,统一RankSVM已评分
快速,人工程度候选；自动发现审核,False,,专栏： 专栏 1：社会融资规模................................................. 5 专栏 2：香港人民币业务稳步开展...................................... 14 专栏 3：发达经济体的主权债务问题..................................... 29 专栏 4：大宗商品价格................................................ 43 表： 表 1：2011 年第一季度分机构人民币贷款情况............................. 4 表 2：2011 年1-3 月份金融机构人民币贷款各利率区间占比................. 7 表 3,2011年第一季度中国货币政策执行报告.txt,只在修饰增长、扩大、上升等变化载体时使用,速度,speed,True,0.15998845333417394,0.7386240366067569,0.3909165561199188,统一RankSVM已评分
合理,自动发现审核,False,,密切关注国际国内经济金融最新动向和国际资本流动的变化，坚持稳中求进、改革创新，继续实施稳健的货币政策，保持适度流动性，实现货币信贷及社会融资规模合理增长，改善和优化融资结构和信贷结构。,2013_Q4_中国人民银行 货币政策 委员会 召开 2013 年 第四季度 例会.txt,,,,True,0.1572566831022866,0.7379782836643869,0.3916947841644287,统一RankSVM已评分
迅速,自动发现审核,False,,9 月欧央行和美联储相继宣布推出新一 轮宽松货币政策后，重债国主要收益率迅速下降后保持稳定，主要避 险国国债收益率也出现短暂下行。,2012年第三季度中国货币政策执行报告.txt,,,,True,0.154307387622147,0.7372811107425988,0.37711095809936523,统一RankSVM已评分
高速,人工程度候选,False,,,,只表示变化速度，不与大幅直接同轴,速度,speed,True,0.15195796693472408,0.7367257399782281,0.25585106015205383,统一RankSVM已评分
